address1;city;state;zip;country;phone;website;industry;industryKey;industryDisp;sector;sectorKey;sectorDisp;longBusinessSummary;companyOfficers;executiveTeam;maxAge;priceHint;previousClose;open;dayLow;dayHigh;regularMarketPreviousClose;regularMarketOpen;regularMarketDayLow;regularMarketDayHigh;exDividendDate;payoutRatio;beta;forwardPE;volume;regularMarketVolume;averageVolume;averageVolume10days;averageDailyVolume10Day;bid;ask;bidSize;askSize;marketCap;nonDilutedMarketCap;fiftyTwoWeekLow;fiftyTwoWeekHigh;allTimeHigh;allTimeLow;priceToSalesTrailing12Months;fiftyDayAverage;twoHundredDayAverage;trailingAnnualDividendRate;trailingAnnualDividendYield;currency;tradeable;enterpriseValue;profitMargins;floatShares;sharesOutstanding;heldPercentInsiders;heldPercentInstitutions;impliedSharesOutstanding;bookValue;priceToBook;lastFiscalYearEnd;nextFiscalYearEnd;mostRecentQuarter;earningsQuarterlyGrowth;netIncomeToCommon;trailingEps;forwardEps;enterpriseToRevenue;enterpriseToEbitda;52WeekChange;SandP52WeekChange;lastDividendValue;lastDividendDate;quoteType;currentPrice;recommendationKey;totalCash;totalCashPerShare;ebitda;totalDebt;quickRatio;currentRatio;totalRevenue;debtToEquity;revenuePerShare;returnOnAssets;returnOnEquity;grossProfits;freeCashflow;operatingCashflow;earningsGrowth;revenueGrowth;grossMargins;ebitdaMargins;operatingMargins;financialCurrency;symbol;language;region;typeDisp;quoteSourceName;triggerable;customPriceAlertConfidence;marketState;regularMarketTime;messageBoardId;exchangeTimezoneName;exchangeTimezoneShortName;gmtOffSetMilliseconds;market;esgPopulated;regularMarketChangePercent;regularMarketPrice;hasPrePostMarketData;firstTradeDateMilliseconds;regularMarketChange;regularMarketDayRange;fullExchangeName;averageDailyVolume3Month;fiftyTwoWeekLowChange;fiftyTwoWeekLowChangePercent;fiftyTwoWeekRange;fiftyTwoWeekHighChange;fiftyTwoWeekHighChangePercent;fiftyTwoWeekChangePercent;fiftyDayAverageChange;fiftyDayAverageChangePercent;twoHundredDayAverageChange;twoHundredDayAverageChangePercent;sourceInterval;exchangeDataDelayedBy;prevName;nameChangeDate;cryptoTradeable;shortName;longName;earningsTimestampStart;earningsTimestampEnd;earningsCallTimestampStart;earningsCallTimestampEnd;isEarningsDateEstimate;epsTrailingTwelveMonths;epsForward;corporateActions;exchange;trailingPegRatio;Ticker;address2;fax;auditRisk;boardRisk;compensationRisk;shareHolderRightsRisk;overallRisk;governanceEpochDate;dividendRate;dividendYield;fiveYearAvgDividendYield;trailingPE;targetHighPrice;targetLowPrice;targetMeanPrice;targetMedianPrice;numberOfAnalystOpinions;epsCurrentYear;priceEpsCurrentYear;fullTimeEmployees;irWebsite;lastSplitFactor;lastSplitDate;recommendationMean;averageAnalystRating;earningsTimestamp;ipoExpectedDate;underlyingSymbol;uuid;compensationAsOfEpochDate;firstTradeDateEpochUtc;timeZoneFullName;timeZoneShortName
Street Afonso de Freitas, 59 - Paraíso;São Paulo;SP;04006-050;Brazil;55 119 4980 6361;https://www.allianca.com;Diagnostics & Research;diagnostics-research;Diagnostics & Research;Healthcare;healthcare;Healthcare;"Alliança Saúde e Participações S.A. provides diagnostic imaging and medicine services in Brazil. The company offers diagnostic imaging, clinical analysis, nuclear medicine, genetic testing, and vaccination services, as well as corporate, remote, and in-person solutions for hospitals and diagnostic centers in the private and public sectors. It provides clinical analysis services, such as blood count, cholesterol, triglycerides, urinalysis 1, stool test, detection of sexually transmitted diseases, and anatomical pathology; and diagnostic imaging services, such as magnetic resonance, computed tomography, ultrasound, x-rays, bone densitometry, mammography, scintigraphy, and PET-CT (positron emission tomography  computed tomography). It also offers graphic methods examinations, including electrocardiogram, cardiotocography, Holter, ergometric tests, and cardiopulmonary tests. Alliança Saúde e Participações S.A. was formerly known as Centro de Imagem Diagnósticos S.A. and changed its name to Alliança Saúde e Participações S.A. in April 2023. Alliança Saúde e Participações S.A. was founded in 1992 and is based in São Paulo, Brazil.";[{'maxAge': 1, 'name': 'Ricardo de Magalhaes Sartim', 'title': 'CEO, CFO & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jose Luiz Mendes Ramos Jr.', 'title': 'Chief Legal & Compliance Officer, Investor Relations Officer and Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Wilson Costa Ferreira', 'title': 'Director of Controlling and Strategic Cash', 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;4,0;5,28;5,14;4,65;5,14;5,28;5,14;4,65;5,14;1588032000,0;0,0;0,593;6,757143;78500,0;78500,0;60624,0;82730,0;82730,0;4,7;4,74;0,0;0,0;720482432,0;804259510,0;3,86;12,94;24,32;3,86;0,5812006;4,5584;5,14095;0,0;0.0;BRL;False;1430173568,0;-0,06493;150416330,0;152321877,0;0,52754;0,56578;152321877,0;7,004;0,6753284;1735603200,0;1767139200,0;1759190400,0;3,354;-80486000,0;-0,63;0,7;1,154;9,366;-0,56933117;0,19708562;0,087297;1588032000,0;EQUITY;4,73;none;123751000,0;0,812;152692000,0;717302016,0;0,931;1,005;1239645056,0;65,251;8,618;0,025899999;-0,06186;332604000,0;-195332128,0;5469000,0;2,437;0,033;0,26830998;0,12317;0,13258;BRL;AALR3.SA;en-US;US;Equity;Delayed Quote;False;LOW;REGULAR;1772727714,0;finmb_78721483;America/Sao_Paulo;BRT;-10800000,0;br_market;False;-10,41667;4,73;False;1477656000000,0;-0,5500002;4.65 - 5.14;São Paulo;60624,0;0,8700001;0,22538865;3.86 - 12.94;-8,209999;-0,6344667;-56,933117;0,17159986;0,037644755;-0,41095018;-0,07993662;15,0;15,0;Centro de Imagem Diagnósticos S.A.;2026-03-05;False;ALLIAR      ON      NM;Alliança Saúde e Participações S.A.;1754506800,0;1754938800,0;1747414800,0;1747414800,0;False;-0,63;0,7;[];SAO;;AALR3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;;ABCB3.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1561759658,0;;America/New_York;EST;-18000000,0;us_market;False;;;False;;;;YHD;;;;;;;;;;;;15,0;0,0;;;False;;;;;;;;;;[];YHD;;ABCB3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avenida Cidade Jardim, 803;São Paulo;SP;01453-000;Brazil;55 11 3170 2000;https://www.abcbrasil.com.br;Banks - Regional;banks-regional;Banks - Regional;Financial Services;financial-services;Financial Services;"Banco ABC Brasil S.A., a commercial bank, provides various financial products and services to middle and large companies in Brazil. The company offers current account; loan and finance products, such as working capital, revolving, receivables, anticipation to suppliers, payroll-linked loan for employees, on lending in foreign currency, and foreign currency loans, as well as for agribusiness, foreign trade, transfers from the coffee economy defense fund, and real estate; guarantee issues, such as payment guarantee issued, performance guarantee issued, judicial guarantee issued, stand-by letter of credit, confirmation of export letters of credit, bid bond, performance bond, and import letter of credit; derivatives, such as non-deliverable forward, term of goods, swap, and options; foreign exchange services for exchange export and import, spot exchange of advance on exchanges delivered, and financial spot exchange of shipping; agribusiness and real estate credit notes, bank deposit certificate, investment funds, structured operations certificate, and debentures. It also provides investments services in mergers and acquisitions operations, capital markets, and project finance. In addition, the company offers insurance products, such as life, performance bonds, and property and casualty insurance; and operates as energy trader. The company was formerly known as Banco Roma de Investimentos and changed its name to Banco ABC Brasil S.A. in 1997. The company was incorporated in 1983 and is headquartered in São Paulo, Brazil. Banco ABC Brasil S.A. is a subsidiary of Marsau Uruguay Holdings SA.";[{'maxAge': 1, 'name': 'Mr. Sergio Lulia Jacob', 'age': 58, 'title': 'CEO & Chairman of Management Board', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sergio Ricardo Borejo', 'age': 56, 'title': 'Executive VP of Financial, Administrative, IRO & Member of the Executive Board', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexandre Yoshiaki Sinzato', 'age': 47, 'title': 'Executive VP of Risk & Member of Management Board', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Antonio Jose Nicolini', 'age': 54, 'title': 'Executive VP of Treasury & Member of the Executive Board', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Antonio  Sanchez Jr.', 'age': 56, 'title': 'Executive VP of Middle & Retail and Member of the Executive Board', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel Credidio Brandão Barbosa De Oliveira', 'age': 49, 'title': 'Middle/Agri Executive VP & Member of the Executive Board', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rodrigo  Montemor', 'age': 42, 'title': 'Large Corporate/Corporate EVP & Member of Executive Board', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Carlos Augusto Del Monaco de Paula Santos e Silva', 'age': 43, 'title': 'Executive Officer of Trading & Member of Executive Board', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Edgard de Souza Toledo Neto', 'age': 45, 'title': 'Member of Executive Board & Executive Officer of ALM', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Everthon Novaes Vieira', 'age': 44, 'title': 'Member of Executive Board and Executive Officer of Risk & Credit Management', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;26,73;26,72;26,01;26,73;26,73;26,72;26,01;26,73;1767052800,0;0,48900002;0,303;5,2660637;111800,0;111800,0;624198,0;535780,0;535780,0;26,03;26,06;0,0;0,0;6285976064,0;6452539430,0;19,14;28,65;28,65;1,984521;2,6660843;25,9072;23,26955;2,616;0.09786756;BRL;False;8837372928,0;0,42498;88232137,0;118435207,0;0,24752001;0,38459998;241396911,0;28,025;0,9291704;1767139200,0;1798675200,0;1767139200,0;0,134;1002000000,0;5,35;4,94487;3,748;;0,32655084;0,19708562;1,532;1767052800,0;EQUITY;26,04;none;13989624832,0;58,006;;16363162624,0;;;2357755904,0;;10,124;0,014579999;0,15463;2357755904,0;;3197086976,0;0,128;0,067;0,0;0,0;0,39408;BRL;ABCB4.SA;en-US;US;Equity;Delayed Quote;False;LOW;REGULAR;1772728749,0;finmb_4493027;America/Sao_Paulo;BRT;-10800000,0;br_market;False;-2,5813642;26,04;False;1190811600000,0;-0,6899986;26.01 - 26.73;São Paulo;624198,0;6,9000015;0,36050165;19.14 - 28.65;-2,6099987;-0,09109943;32,655083;0,13280106;0,005126029;2,7704506;0,11905905;15,0;15,0;;;False;ABC BRASIL  PN      N2;Banco ABC Brasil S.A.;1754569800,0;1754569800,0;1746810000,0;1746810000,0;False;5,35;4,94487;[];SAO;;ABCB4;2nd floor Itaim Bibi;55 11 3170 2001;3,0;8,0;4,0;8,0;7,0;1772323200,0;3,06;11,46;6,92;4,86729;32,0;22,0;27,77778;29,0;9,0;4,50618;5,778731;;;;;;;;;;;;;;
Rua Dr. Renato Paes de Barros, 1017;São Paulo;SP;04530-001;Brazil;55 80 0725 8000;https://www.ambev.com.br;Beverages - Brewers;beverages-brewers;Beverages - Brewers;Consumer Defensive;consumer-defensive;Consumer Defensive;Ambev S.A., through its subsidiaries, engages in the production, distribution, and sale of beer, draft beer, soft drinks, malt and food, and other beverages in Brazil, Central America and Caribbean, Latin America South, and Canada. The company offers beer, ready-to-drink cocktails and spritzers, soft drinks, water, teas, and isotonic drinks under the Brahma, Skol, Antarctica, Original, Quilmes, Andes Origen, Patricia, Paceha, Huari, Pilsen, Presidente, Balboa, Guaraná Antarctica, and Beats brands. It sells its products to distributors, supermarkets, and retailers within a broad distribution network. The company was founded in 1853 and is headquartered in São Paulo, Brazil. Ambev S.A. operates as a subsidiary of Interbrew International B.V.;[{'maxAge': 1, 'name': 'Mr. Carlos Eduardo Klutzenschell Lisboa', 'age': 56, 'title': 'CEO & Member of Board of Executive Officers', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Guilherme Fleury de Figueiredo Ferraz Parolari', 'title': 'Chief Financial, Investors Relations & Shared Services Officer and Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eduardo Braga Cavalcanti de Lacerda', 'age': 47, 'title': 'VP of Commercial & Member of Executive Board of Officers', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ricardo Morais Pereira de Melo', 'age': 53, 'title': 'VP of People & Management and Member of Executive Board of Officers', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Paulo André Zagman', 'age': 47, 'title': 'VP Officer of Logistics & Member of Executive Board of Officers', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eduardo Eiji Horai', 'age': 38, 'title': 'VP of Information Technology & Member of Board of Executive Officers', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Daniel Wakswaser Cordeiro', 'age': 39, 'title': 'VP of Marketing & Member of Executive Board of Officers', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Valdecir  Duarte', 'age': 43, 'title': 'Industrial VP & Member of Executive Board of Officers', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Daniela Gavranic Cachich', 'age': 51, 'title': 'Beyond Beer VP & Member of Board of Executive Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carla Smith de Vasconcellos Crippa Prado', 'age': 42, 'title': 'VP of Corporate Affairs & Member of Executive Board of Officers', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;15,6;15,49;15,28;15,56;15,6;15,49;15,28;15,56;1766102400,0;1,8482001;0,285;13,686675;8050500,0;8050500,0;29043310,0;28570310,0;28570310,0;15,37;15,38;0,0;0,0;240025993216,0;243149299232,0;11,68;16,77;24,56;0,468107;2,7200735;14,956;13,4718;1,458;0.093461536;BRL;False;227545546752,0;0,17569;4277210306,0;15616525320,0;0,71943;0,09475;15616525320,0;5,63;2,7300177;1767139200,0;1798675200,0;1767139200,0;-0,109;15503399936,0;0,93;1,12299;2,579;8,36;0,21400774;0,19708562;1,4502;1766102400,0;EQUITY;15,37;hold;20319920128,0;1,301;27218567168,0;3386924032,0;0,664;0,962;88242470912,0;3,815;5,65;0,091359995;0,16976999;45378338816,0;12534329344,0;24450283520,0;-0,101;-0,082;0,51425;0,30844998;0,28194;BRL;ABEV3.SA;en-US;US;Equity;Delayed Quote;False;LOW;REGULAR;1772728753,0;finmb_134386019;America/Sao_Paulo;BRT;-10800000,0;br_market;False;-1,4734176;15,37;False;947073600000,0;-0,2300005;15.28 - 15.56;São Paulo;29043310,0;3,6899996;0,3159246;11.68 - 16.77;-1,4000006;-0,083482444;21,400774;0,41399956;0,027681168;1,8982;0,14090174;15,0;15,0;;;False;AMBEV S/A   ON;Ambev S.A.;1778011200,0;1778011200,0;1770913800,0;1770913800,0;False;0,93;1,12299;[];SAO;2,1739;ABEV3;3rd Floor;;2,0;5,0;9,0;4,0;6,0;1772323200,0;2,39;15,3;5,1;16,526882;20,0;11,0;15,08889;15,0;18,0;1,02775;14,954998;39000,0;http://www.mzweb.com.br/ambev2009/web/default_en.asp?idioma=1&conta=44;5:1;1384214400,0;3,11111;3.1 - Hold;1778011200,0;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;;ACES3.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1561759658,0;;America/New_York;EST;-18000000,0;us_market;False;;;False;;;;YHD;;;;;;;;;;;;15,0;0,0;;;False;;;;;;;;;;[];YHD;;ACES3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;;ACES4.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1561759658,0;;America/New_York;EST;-18000000,0;us_market;False;;;False;;;;YHD;;;;;;;;;;;;15,0;0,0;;;False;;;;;;;;;;[];YHD;;ACES4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;4,0;;;;;1,56;0,0;0,0;0,0;;;;;;0,0;;;0,0;0,0;0,0;0,0;0,0;25439700,0;;0,0;1,56;;;;1,56;1,56;;;BRL;False;;;;16307500,0;;;;-2,615;-0,5965583;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;BRL;ADHM3.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1721764800,0;finmb_71456519;America/Sao_Paulo;BRT;-10800000,0;br_market;False;0,0;1,56;False;1271422800000,0;0,0;0.0 - 0.0;São Paulo;0,0;1,56;;0.0 - 1.56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;15,0;;;False;ADHM3.SA,0P0000NJ25,0;Advanced Digital Health Medicina Preventiva S.A.;;;;;;-0,823;;[];SAO;;ADHM3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;São Paulo;SP;;Brazil;;;Asset Management;asset-management;Asset Management;Financial Services;financial-services;Financial Services;CIABRASF - Cia. Brasileira de Serviços Financeiros S/A provides investment fund management and fiduciary solutions in Brazil. The company offers distribution, custody, bookkeeping, and controllership, as well as fiduciary administration and asset management services. The company was formerly known as Cia. Brasileira de Serviços Financeiros S/A. CIABRASF - Cia. Brasileira de Serviços Financeiros S/A was incorporated in 2023 and is based in São Paulo, Brazil. CIABRASF - Cia. Brasileira de Serviços Financeiros S/A operates as a subsidiary of Arandu Investimentos S.A.;[{'maxAge': 1, 'name': 'Silvano  Gersztel', 'title': 'Chief Executive Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Thiago Souza Gramari', 'title': 'CFO & Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}];[];86400,0;2,0;13,9;0,0;13,9;13,9;13,9;0,0;13,9;13,9;;0,0;;;0,0;0,0;11300,0;12420,0;12420,0;12,2;16,5;;;81066136,0;81066134,0;8,08;128,99;128,99;8,08;;53,2592;56,451168;0,0;0.0;BRL;False;;0,0;;5832096,0;0,0;0,98347;5832096,0;;;;;;;;-0,27;;;;-0,889243;0,19708562;;;EQUITY;13,9;none;;;;;;;;;;;;;;;;;0,0;0,0;0,0;;ADMF3.SA;en-US;US;Equity;Delayed Quote;False;LOW;REGULAR;1772569300,0;finmb_1897786517;America/Sao_Paulo;BRT;-10800000,0;br_market;False;0,0;13,9;False;1741266000000,0;0,0;13.9 - 13.9;São Paulo;11300,0;5,8199997;0,720297;8.08 - 128.99;-115,090004;-0,8922397;-88,9243;-39,3592;-0,7390122;-42,55117;-0,7537695;15,0;15,0;Reag Trust S.A;2026-03-05;False;CIABRASF    ON      NM;CIABRASF - Cia. Brasileira de Serviços Financeiros S/A;;;;;;-0,27;;[];SAO;;ADMF3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;;AEDU11.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1561759658,0;;America/New_York;EST;-18000000,0;us_market;False;;;False;;;;YHD;;;;;;;;;;;;15,0;0,0;;;False;;;;;;;;;;[];YHD;;AEDU11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;MUTUALFUND;;;;;;;;;;;;;;;;;;;;;;;AEDU3.SA;en-US;US;Fund;Delayed Quote;False;NONE;REGULAR;1561759658,0;;America/New_York;EST;-18000000,0;us_market;False;;;False;;;;YHD;;;;;;;;;;;;15,0;0,0;;;False;;;;;;;;;;[];YHD;;AEDU3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
